name,text,short_description,nodes,image_url,embeddings,image
"Эльвира Хусаинова 
«Там, только там»","Эльвира Хусаинова 
«Там, только там»

Инсталляция
2024 

Эта работа содержит в себе сразу несколько временных измерений. Каждый объект отражает отдельное выставочное событие со своими процессами, которые остаются невидимыми в рамках инсталляции. Радиус (квотерпайп), чёрно-белая клетка, узор и театральная одежда своей встречей создают общее будущее в новом формате, при этом являясь гиперссылкой в прошлое. 

Как далека эта имитация от реальности происходившего?

Можно ли допрыгнуть до прошлого через декорации, не проткнув их носом Пиноккио?

Этот прыжок предлагается сделать каждому и оказаться там, только там, куда приведёт его фантазия и опыт посещения загаданных событий или его отсутствие.

«Там, только там, только там электрический рассвет и меня как будто нет, па-па-ра-ру-рам».

За возведение радиуса я благодарю человека, которого многие знают под псевдонимом KitKat. Последние семь лет он отдал скейтбордингу.  Он и его друзья занимаются строительством скейтпарков и организацией скейтборд-контестов в Тюмени. За последние несколько лет они построили шесть бетонных скейтпарков и не планируют останавливаться.




Художник, куратор арт-событий и организатор творческого сообщества BUDU (Буду).

Детство автора прошло вдали от цивилизации. Они с семьёй жили на берегу озера Петигуль, в окружении множества других озер, болот и лесов. Это место силы и первозданности, где человек сливается с воздухом, водой и растениями. 
Художница не ограничивается одной техникой или материалом. Имеет опыт работы с графикой, живописью, цифровым искусством, вышивкой, лепкой, отливом из пластика и смешанной техникой, а также соучастными художественными практиками и перформансом.


Участница выставок: выставка независимого творчества «ОНО» 2015 год, выставка инсталляции и перформанса «Ш» 2016 год, выставка жизни и смерти «LOOP» 2017 год, «СТЕНА» 2017 - 2019 годы.

","Эльвира Хусаинова 
«Там, только там»

Инсталляция
2024 

Эта работа содержит в себе сразу несколько временных измерений. Каждый объект отражает отдельное выставочное событие со своими процессами, которые остаются невидимыми в рамках инсталляции. Радиус (квотерпайп), чёрно-белая клетка, узор и театральная одежда своей встречей создают общее будущее в новом формате, при этом являясь гиперссылкой в прошлое. 

Как далека эта имитация от реальности происходившего?

Можно ли допрыгнуть до прошлого через декорации, не проткнув их носом Пиноккио?

Этот прыжок предлагается сделать каждому и оказаться там, только там, куда приведёт его фантазия и опыт посещения загаданных событий или его отсутствие.

«Там, только там, только там электрический рассвет и меня как будто нет, па-па-ра-ру-рам».

За возведение радиуса я благодарю человека, которого многие знают под псевдонимом KitKat. Последние семь лет он отдал скейтбордингу.  Он и его друзья занимаются строительством скейтпарков и организацией скейтборд-контестов в Тюмени. За последние несколько лет они построили шесть бетонных скейтпарков и не планируют останавливаться.
","[14.1, 14.2, 14.3]",https://i.postimg.cc/fWpYqSN9/image.jpg,"[-0.05971314  0.01371749 -0.01567277 ...  0.02147497  0.00206291
  0.01106662]",data/Slovcova/artwork_images/хусаинова.jpg
Ворота,"Ворота: Ворота – это не просто архитектурный элемент, а настоящий символ перехода в неизведанное. Эти ворота, привезенные из села Нижняя Тавда, хранят в себе вековую историю, полную тайн и воспоминаний. С древнейших времен ворота олицетворяли вход в новое пространство, таинственную силу и скрытые миры. Они служат мостом между привычным и неизведанным, открывая двери в мир, где творчество встречается с реальностью. Каждый раз, проходя мимо них, мы погружаемся в уникальный культурный слой Тюменского региона. История этих ворот насыщена множеством событий. Их не раз перевозили вместе с домом, и каждый переезд оставил свой след. Каждая деталь рассказывает свою собственную историю жизни. После их прибытия в музей команда опытных реставраторов начала кропотливую работу по восстановлению. Специалисты тщательно изучили каждую деталь, чтобы сохранить аутентичность и оригинальный облик ворот. Реставрация включала очистку, восстановление поврежденных элементов и укрепление конструкции. Благодаря этому процессу ворота обрели вторую жизнь, сохранив все свои исторические особенности. Теперь эти ворота стали центральным экспонатом новой выставки современного искусства «Культурный слой». За ними простирается мир художников и арт-групп, где обыденность трансформируется в искусство. Здесь каждое произведение – это не просто объект для восприятия, а повод задуматься о нашем взаимодействии с окружающим пространством. Тюменские художники используют неожиданные материалы и образы, чтобы подчеркнуть контраст между привычным и необычным. Ворота символизируют не только вход, но и таинственные миры. Они открывают путь в новое понимание того, что значит быть частью разнообразного культурного слоя.  Смотря на эти ворота, вы открываете новые горизонты, где реальность смешивается с фантазией. Добро пожаловать в мир современного искусства, где каждый шаг – это шаг к новому пониманию культуры и искусства.","Ворота: Ворота – это не просто архитектурный элемент, а настоящий символ перехода в неизведанное. Эти ворота, привезенные из села Нижняя Тавда, хранят в себе вековую историю, полную тайн и воспоминаний. С древнейших времен ворота олицетворяли вход в новое пространство, таинственную силу и скрытые миры. Они служат мостом между привычным и неизведанным, открывая двери в мир, где творчество встречается с реальностью. Каждый раз, проходя мимо них, мы погружаемся в уникальный культурный слой Тюменского региона. История этих ворот насыщена множеством событий. Их не раз перевозили вместе с домом, и каждый переезд оставил свой след. Каждая деталь рассказывает свою собственную историю жизни. После их прибытия в музей команда опытных реставраторов начала кропотливую работу по восстановлению. Специалисты тщательно изучили каждую деталь, чтобы сохранить аутентичность и оригинальный облик ворот. Реставрация включала очистку, восстановление поврежденных элементов и укрепление конструкции. Благодаря этому процессу ворота обрели вторую жизнь, сохранив все свои исторические особенности. Теперь эти ворота стали центральным экспонатом новой выставки современного искусства «Культурный слой». За ними простирается мир художников и арт-групп, где обыденность трансформируется в искусство. Здесь каждое произведение – это не просто объект для восприятия, а повод задуматься о нашем взаимодействии с окружающим пространством. Тюменские художники используют неожиданные материалы и образы, чтобы подчеркнуть контраст между привычным и необычным. Ворота символизируют не только вход, но и таинственные миры. Они открывают путь в новое понимание того, что значит быть частью разнообразного культурного слоя.  Смотря на эти ворота, вы открываете новые горизонты, где реальность смешивается с фантазией. Добро пожаловать в мир современного искусства, где каждый шаг – это шаг к новому пониманию культуры и искусства.",1,https://i.postimg.cc/g0WXF3Sx/image.jpg,"[-0.00848582  0.00983831 -0.0572137  ... -0.01466021 -0.00627776
 -0.01833519]",data/Slovcova/artwork_images/ворота.jpg
"Команда «ДАЙТЕ СТЕНУ»
«Не дошла»","«ДАЙТЕ СТЕНУ»
Команда художников, стрит-артистов, дизайнеров, модельеров. Мультидисциплинарная команда. В 2023 году объединились, чтобы вместе создавать крупные паблик-арт проекты, организовали мастерскую/галерею в центре города Тюмень. Это первое независимое арт-пространство и одновременно рабочее место, в котором создаётся библиотека экспериментов в области искусства.
Тюмень
giveusawall.art
","«ДАЙТЕ СТЕНУ»
Команда художников, стрит-артистов, дизайнеров, модельеров. Мультидисциплинарная команда. В 2023 году объединились, чтобы вместе создавать крупные паблик-арт проекты, организовали мастерскую/галерею в центре города Тюмень. Это первое независимое арт-пространство и одновременно рабочее место, в котором создаётся библиотека экспериментов в области искусства.
Тюмень

",10.1,https://i.postimg.cc/SKYhrP78/10.jpg,"[-0.02043232  0.00808241 -0.05208912 ... -0.0385623  -0.0420024
 -0.01868501]",data/Slovcova/artwork_images/не дошла.jpg
"Команда «ДАЙТЕ СТЕНУ»
«Помирились и доделали, но без берез»","«ДАЙТЕ СТЕНУ»
Команда художников, стрит-артистов, дизайнеров, модельеров. Мультидисциплинарная команда. В 2023 году объединились, чтобы вместе создавать крупные паблик-арт проекты, организовали мастерскую/галерею в центре города Тюмень. Это первое независимое арт-пространство и одновременно рабочее место, в котором создаётся библиотека экспериментов в области искусства.
Тюмень
giveusawall.art
","«ДАЙТЕ СТЕНУ»
Команда художников, стрит-артистов, дизайнеров, модельеров. Мультидисциплинарная команда. В 2023 году объединились, чтобы вместе создавать крупные паблик-арт проекты, организовали мастерскую/галерею в центре города Тюмень. Это первое независимое арт-пространство и одновременно рабочее место, в котором создаётся библиотека экспериментов в области искусства.
Тюмень
",10.2,https://i.postimg.cc/fykB9gyn/IMG-1834.jpg,"[-0.02043232  0.00808241 -0.05208912 ... -0.0385623  -0.0420024
 -0.01868501]",data/Slovcova/artwork_images/помирились.JPG
"Саша Мельникова
""У меня жук живет в дневнике""","САША МЕЛЬНИКОВА
Мультисдисциплинарный художник, дизайнер, арт-директор, куратор. Выпускник
школы Родченко и Тюменского Института Дизайна, создаёт инсталляции, живопись,
графику, занимается стритартом, снимаем фото и видео, пишет поэзию. Любит
экспериментировать с материалами. Работает над проектом титановой живописи,
которая выставлялась на персональной выставке по итогам арт-резиденции в г.
Выкса. Участник Красноярской биеннале 2023, спецпроектов 5-й и 6-й Уральской
индустриальной биеннале, проекта NEMOSKVA, фестивалей Арт-Проспект,
Морфология Улиц, Карт-Бланш. Вошла в лонг-лист премии Курёхина в 2023.
","САША МЕЛЬНИКОВА
Мультисдисциплинарный художник, дизайнер, арт-директор, куратор. Выпускник
школы Родченко и Тюменского Института Дизайна, создаёт инсталляции, живопись,
графику, занимается стритартом, снимаем фото и видео, пишет поэзию. Любит
экспериментировать с материалами. Работает над проектом титановой живописи,
которая выставлялась на персональной выставке по итогам арт-резиденции в г.
Выкса. Участник Красноярской биеннале 2023, спецпроектов 5-й и 6-й Уральской
индустриальной биеннале, проекта NEMOSKVA, фестивалей Арт-Проспект,
Морфология Улиц, Карт-Бланш. Вошла в лонг-лист премии Курёхина в 2023.",11.1,https://i.postimg.cc/XYwKCjty/11-22-12-23.jpg,"[-0.05308248 -0.00184752 -0.00384673 ...  0.02173995  0.01533705
  0.04829406]",data/Slovcova/artwork_images/Мельникова_У_меня_жук_живет.jpg
"Саша Мельникова
""Волк в неоновом цвете луны""","САША МЕЛЬНИКОВА
Мультисдисциплинарный художник, дизайнер, арт-директор, куратор. Выпускник
школы Родченко и Тюменского Института Дизайна, создаёт инсталляции, живопись,
графику, занимается стритартом, снимаем фото и видео, пишет поэзию. Любит
экспериментировать с материалами. Работает над проектом титановой живописи,
которая выставлялась на персональной выставке по итогам арт-резиденции в г.
Выкса. Участник Красноярской биеннале 2023, спецпроектов 5-й и 6-й Уральской
индустриальной биеннале, проекта NEMOSKVA, фестивалей Арт-Проспект,
Морфология Улиц, Карт-Бланш. Вошла в лонг-лист премии Курёхина в 2023.
","САША МЕЛЬНИКОВА
Мультисдисциплинарный художник, дизайнер, арт-директор, куратор. Выпускник
школы Родченко и Тюменского Института Дизайна, создаёт инсталляции, живопись,
графику, занимается стритартом, снимаем фото и видео, пишет поэзию. Любит
экспериментировать с материалами. Работает над проектом титановой живописи,
которая выставлялась на персональной выставке по итогам арт-резиденции в г.
Выкса. Участник Красноярской биеннале 2023, спецпроектов 5-й и 6-й Уральской
индустриальной биеннале, проекта NEMOSKVA, фестивалей Арт-Проспект,
Морфология Улиц, Карт-Бланш. Вошла в лонг-лист премии Курёхина в 2023.",11.2,"https://i.postimg.cc/0jTmzFff/11.jpg  
","[-0.05308248 -0.00184752 -0.00384673 ...  0.02173995  0.01533705
  0.04829406]",data/Slovcova/artwork_images/Мельникова_Волк_в_неоновом_цвете_луны.jpg
"Саша Мельникова
""Друзья-наклейки""","САША МЕЛЬНИКОВА
Мультисдисциплинарный художник, дизайнер, арт-директор, куратор. Выпускник
школы Родченко и Тюменского Института Дизайна, создаёт инсталляции, живопись,
графику, занимается стритартом, снимаем фото и видео, пишет поэзию. Любит
экспериментировать с материалами. Работает над проектом титановой живописи,
которая выставлялась на персональной выставке по итогам арт-резиденции в г.
Выкса. Участник Красноярской биеннале 2023, спецпроектов 5-й и 6-й Уральской
индустриальной биеннале, проекта NEMOSKVA, фестивалей Арт-Проспект,
Морфология Улиц, Карт-Бланш. Вошла в лонг-лист премии Курёхина в 2023.
","САША МЕЛЬНИКОВА
Мультисдисциплинарный художник, дизайнер, арт-директор, куратор. Выпускник
школы Родченко и Тюменского Института Дизайна, создаёт инсталляции, живопись,
графику, занимается стритартом, снимаем фото и видео, пишет поэзию. Любит
экспериментировать с материалами. Работает над проектом титановой живописи,
которая выставлялась на персональной выставке по итогам арт-резиденции в г.
Выкса. Участник Красноярской биеннале 2023, спецпроектов 5-й и 6-й Уральской
индустриальной биеннале, проекта NEMOSKVA, фестивалей Арт-Проспект,
Морфология Улиц, Карт-Бланш. Вошла в лонг-лист премии Курёхина в 2023.",11.3,https://i.postimg.cc/fywp6qX8/11.jpg,"[-0.05308248 -0.00184752 -0.00384673 ...  0.02173995  0.01533705
  0.04829406]",data/Slovcova/artwork_images/Мельникова_Друзья_наклейки.jpg
"Саша Мельникова
""Сердце словно решето""","САША МЕЛЬНИКОВА
Мультисдисциплинарный художник, дизайнер, арт-директор, куратор. Выпускник
школы Родченко и Тюменского Института Дизайна, создаёт инсталляции, живопись,
графику, занимается стритартом, снимаем фото и видео, пишет поэзию. Любит
экспериментировать с материалами. Работает над проектом титановой живописи,
которая выставлялась на персональной выставке по итогам арт-резиденции в г.
Выкса. Участник Красноярской биеннале 2023, спецпроектов 5-й и 6-й Уральской
индустриальной биеннале, проекта NEMOSKVA, фестивалей Арт-Проспект,
Морфология Улиц, Карт-Бланш. Вошла в лонг-лист премии Курёхина в 2023.
","САША МЕЛЬНИКОВА
Мультисдисциплинарный художник, дизайнер, арт-директор, куратор. Выпускник
школы Родченко и Тюменского Института Дизайна, создаёт инсталляции, живопись,
графику, занимается стритартом, снимаем фото и видео, пишет поэзию. Любит
экспериментировать с материалами. Работает над проектом титановой живописи,
которая выставлялась на персональной выставке по итогам арт-резиденции в г.
Выкса. Участник Красноярской биеннале 2023, спецпроектов 5-й и 6-й Уральской
индустриальной биеннале, проекта NEMOSKVA, фестивалей Арт-Проспект,
Морфология Улиц, Карт-Бланш. Вошла в лонг-лист премии Курёхина в 2023.",11.4,https://i.postimg.cc/ydY0WQYm/1.jpg,"[-0.05308248 -0.00184752 -0.00384673 ...  0.02173995  0.01533705
  0.04829406]",data/Slovcova/artwork_images/Мельникова_Сердце_словно_решето.jpg
"Савелий Мельчаков 
""Wake up village""","САВЕЛИЙ МЕЛЬЧАКОВ
Молодой начинающий модельер, дизайнер и художник. Интересуется абстрактными
образами, исследует формы телесности и текучести, занимается стрит-артом, готовит
первую коллекцию одежды. Объединяя любовь к уличной культуре и швейному делу
Сава создает оригинальные и самобытные произведения.
","САВЕЛИЙ МЕЛЬЧАКОВ
Молодой начинающий модельер, дизайнер и художник. Интересуется абстрактными
образами, исследует формы телесности и текучести, занимается стрит-артом, готовит
первую коллекцию одежды. Объединяя любовь к уличной культуре и швейному делу
Сава создает оригинальные и самобытные произведения.",12.1,https://i.postimg.cc/fywp6qX8/11.jpg,"[-0.00193274  0.0002622  -0.01499096 ...  0.03781006 -0.00326943
  0.04414329]",data/Slovcova/artwork_images/Мельчаков_Wake_up_village.JPG
"Савелий Мельчаков 
""Чупачупс""","САВЕЛИЙ МЕЛЬЧАКОВ
Молодой начинающий модельер, дизайнер и художник. Интересуется абстрактными
образами, исследует формы телесности и текучести, занимается стрит-артом, готовит
первую коллекцию одежды. Объединяя любовь к уличной культуре и швейному делу
Сава создает оригинальные и самобытные произведения.
","САВЕЛИЙ МЕЛЬЧАКОВ
Молодой начинающий модельер, дизайнер и художник. Интересуется абстрактными
образами, исследует формы телесности и текучести, занимается стрит-артом, готовит
первую коллекцию одежды. Объединяя любовь к уличной культуре и швейному делу
Сава создает оригинальные и самобытные произведения.",12.2,https://i.postimg.cc/tJwdhYXF/12.jpg,"[-0.00193274  0.0002622  -0.01499096 ...  0.03781006 -0.00326943
  0.04414329]",data/Slovcova/artwork_images/Мельчаков_Чупа_Чупс.jpg
